,endTime,artistName,trackName,msPlayed
2072,2021-08-22 06:57,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",24928
2073,2021-08-22 07:02,Lewis Capaldi,Someone You Loved,182115
2074,2021-08-22 07:14,Lewis Capaldi,Before You Go,214934
2075,2021-08-22 07:20,Lewis Capaldi,Bruises,219803
2076,2021-08-22 07:23,Lewis Capaldi,Hold Me While You Wait,205659
2077,2021-08-22 07:26,Lewis Capaldi,Forever,152673
2078,2021-08-22 07:36,Adnan Sami,Bhar Do Jholi Meri,421246
2079,2021-08-22 07:43,Vishal-Shekhar,Dil Diyan Gallan,10911
2080,2021-08-22 07:43,Jabbar Abbas,Dam Mast Qalandar,390177
2081,2021-08-22 09:26,Prateek Kuhad,Kasoor,30518
2082,2021-08-22 11:19,Adnan Sami,Bhar Do Jholi Meri,105160
2083,2021-08-22 12:33,Atif Aslam,Tu Chahiye,583
2084,2021-08-22 12:42,Adnan Sami,Bhar Do Jholi Meri,499383
2085,2021-08-22 12:46,Shankar-Ehsaan-Loy,Mera Yaar,25038
2086,2021-08-22 12:46,KK,Tu Jo Mila,909
2087,2021-08-22 12:46,KK,Tu Jo Mila,242864
2088,2021-08-22 12:55,Adnan Sami,Bhar Do Jholi Meri,499383
2089,2021-08-22 12:56,KK,Tu Jo Mila,64896
2090,2021-08-22 13:01,Adnan Sami,Bhar Do Jholi Meri,335413
2091,2021-08-22 13:15,Coldplay,Hymn for the Weekend,225528
2092,2021-08-22 13:22,Nick Jonas,Jealous,223106
2093,2021-08-22 13:35,Why Don't We,Talk,190346
2094,2021-08-22 13:39,vaultboy,everything sucks (feat. Eric Nam),119744
2095,2021-08-22 13:51,The Score,Money Run Low,85919
2096,2021-08-22 14:41,Prateek Kuhad,Kasoor,166870
2097,2021-08-22 14:41,Adnan Sami,Bhar Do Jholi Meri,253811
2098,2021-08-22 14:49,Sam Smith,Diamonds,213869
2099,2021-08-22 14:52,James Bay,Peer Pressure,176826
2100,2021-08-22 14:56,Eurythmics,Sweet Dreams (Are Made of This) - Remastered,216933
2101,2021-08-22 14:59,OneRepublic,Run,169010
2102,2021-08-22 15:02,*NSYNC,Bye Bye Bye,200400
2103,2021-08-22 15:12,The Score,Top Of The World,172540
2104,2021-08-22 15:24,The Chainsmokers,See The Way,177960
2105,2021-08-22 15:28,Zedd,Good Thing (with Kehlani),210901
2106,2021-08-22 15:32,Imagine Dragons,Bullet In A Gun,204853
2107,2021-08-22 15:34,The Score,Can You Hear Me Now,118328
2108,2021-08-22 15:37,Thomas Rhett,On Me (feat. Ava Max),164683
2109,2021-08-22 15:51,Alan Walker,Diamond Heart,152017
2110,2021-08-22 16:03,Alan Walker,Diamond Heart,153685
2111,2021-08-22 16:24,Adnan Sami,Bhar Do Jholi Meri,157960
2112,2021-08-22 17:11,Adnan Sami,Bhar Do Jholi Meri,291983
2113,2021-08-22 17:23,The Score,Money Run Low,81927
2114,2021-08-22 17:38,Adnan Sami,Bhar Do Jholi Meri,489940
2115,2021-08-22 19:29,Adnan Sami,Bhar Do Jholi Meri,1006314
2116,2021-08-22 19:38,Adnan Sami,Bhar Do Jholi Meri,499383
2117,2021-08-22 19:46,Adnan Sami,Bhar Do Jholi Meri,499383
2118,2021-08-22 19:54,Adnan Sami,Bhar Do Jholi Meri,499383
2119,2021-08-22 20:03,Adnan Sami,Bhar Do Jholi Meri,499383
2120,2021-08-22 20:14,Adnan Sami,Bhar Do Jholi Meri,89696
2121,2021-08-23 03:43,Adnan Sami,Bhar Do Jholi Meri,303438
2122,2021-08-23 08:47,Adnan Sami,Bhar Do Jholi Meri,5560
2123,2021-08-23 08:50,Adnan Sami,Bhar Do Jholi Meri,13255
2124,2021-08-23 08:58,Adnan Sami,Bhar Do Jholi Meri,349999
2125,2021-08-23 09:02,Shankar-Ehsaan-Loy,Mera Yaar,202754
2126,2021-08-23 09:05,The Cab,Lock Me Up,209423
2127,2021-08-23 09:09,The Cab,Moon,196667
2128,2021-08-23 09:13,The Cab,Numbers,248922
2129,2021-08-23 09:18,The Cab,Stand Up,263066
2130,2021-08-23 09:22,The Cab,These Are The Lies,226415
2131,2021-08-23 09:22,The Cab,Lock Me Up,14660
2132,2021-08-23 09:26,The Score,Never Going Back,197633
2133,2021-08-23 09:29,The Score,Legend,188924
2134,2021-08-23 09:33,The Score,Only One,227849
2135,2021-08-23 09:37,The Score,Tightrope,233667
2136,2021-08-23 09:40,The Score,Believe,228172
2137,2021-08-23 09:44,The Score,Unstoppable,191912
2138,2021-08-23 09:47,The Score,Who I Am,215666
2139,2021-08-23 09:51,The Score,Revolution,231904
2140,2021-08-23 09:54,The Score,Shakedown,204904
2141,2021-08-23 09:58,The Score,Higher,214406
2142,2021-08-23 10:01,The Score,Miracle,122037
2143,2021-08-23 10:07,The Score,Miracle,221726
2144,2021-08-23 10:08,The Score,Strange,52910
2145,2021-08-23 10:13,The Score,Money Run Low,185383
2146,2021-08-23 10:20,The Score,The Heat,221195
2147,2021-08-23 10:24,The Score,Where You Are,226185
2148,2021-08-23 10:33,The Score,Don't Wanna Be,153865
2149,2021-08-23 10:36,The Score,Going Home,198449
2150,2021-08-23 10:37,The Score,Unstoppable - Stripped,77676
2151,2021-08-23 10:41,The Score,On And On,215707
